Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,198107,-,-,-,44.05,-123.06,-8,126,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2011,1,1,0,0,0,0,0,0,0,0,7,-1,158.72,0,0.11104000359773636,0.8,1.569,21.3,96.9,-1,980.0
2011,1,1,0,30,0,0,0,0,0,0,7,-1,158.76,0,0.11104000359773636,0.8,1.572,21.3,96.9,-1,980.0
2011,1,1,1,0,0,0,0,0,0,0,8,-1,157.07,0,0.11104000359773636,0.9,1.576,10.100000000000001,96.96000000000001,-1,980.0
2011,1,1,1,30,0,0,0,0,0,0,8,-1,154.0,0,0.11104000359773636,0.9,1.573,10.100000000000001,96.96000000000001,-1,980.0
2011,1,1,2,0,0,0,0,0,0,0,4,-1,149.98,0,0.11104000359773636,0.9,1.57,355.8,96.89,-1,980.0
2011,1,1,2,30,0,0,0,0,0,0,8,-1,145.37,0,0.11104000359773636,0.8,1.559,355.8,96.89,-1,980.0
2011,1,1,3,0,0,0,0,0,0,0,1,-1,140.38,0,0.11104000359773636,0.7000000000000001,1.549,350.6,97.37,-1,980.0
2011,1,1,3,30,0,0,0,0,0,0,1,-1,135.18,0,0.11104000359773636,0.6000000000000001,1.5330000000000001,350.6,97.38,-1,980.0
2011,1,1,4,0,0,0,0,0,0,0,4,-1,129.85,0,0.11104000359773636,0.6000000000000001,1.5170000000000001,342.20000000000005,98.21000000000001,-1,980.0
2011,1,1,4,30,0,0,0,0,0,0,4,-1,124.47,0,0.11104000359773636,0.6000000000000001,1.498,342.20000000000005,98.23,-1,980.0
